npm notice run levelflow-cloud@0.1.0 npx
npm notice run 'tsx' scripts/grid-totalr.ts sweeps/4c/shard-0.jsonl sweeps/4c/shard-1.jsonl sweeps/4c/shard-2.jsonl sweeps/4c/shard-3.jsonl sweeps/4c/shard-4.jsonl sweeps/4c/shard-5.jsonl sweeps/4c/shard-6.jsonl sweeps/4c/shard-7.jsonl --baseline confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=1 --permutations 1000 --seed 7
folds: fit=fit select=select (legacy two-split corpus) · holdout 3 markets excluded
corpus 3c47e2036e1b · engine 2026.08.11.engine-v2 · anchor 2026-08-11

=== CRYPTO ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=3      10.3     65.0    0.001    0.176    0.0   0.11     -12.1  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=1      45.2     78.0    0.001    0.196    0.0   0.13      -8.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=3      53.8     80.4    0.001    0.214    0.0   0.14      -8.9  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=1      83.9    106.4    0.001    0.242    0.0   0.14      -5.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=3      89.1    100.5    0.001    0.250    0.0   0.17      -7.5  ACCEPT — fit+select, paired p, expectancy holds

=== METALS ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
baseline                         131.6     75.3    0.001    0.086   -5.0   0.01      -3.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=3       0.2     -0.2    1.000   -0.000    0.0   0.01      -4.3  fails
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=1     133.7     74.8    0.001    0.086   -5.0   0.01      -3.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1.6,sizingHoursFactor=3     133.7     74.4    0.001    0.086   -5.0   0.01      -3.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     426.5    238.3    0.001    0.246    0.7   0.02      -2.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=2.5,sizingHoursFactor=3     435.9    237.7    0.001    0.234    0.7   0.03      -2.5  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=1     605.3    260.2    0.001    0.280    1.0   0.05      -2.8  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=4,sizingHoursFactor=3     655.6    301.4    0.001    0.297    0.8   0.07      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=1      43.2     43.8    0.001    0.047    0.0   0.01      -4.3  ACCEPT — fit+select, paired p, expectancy holds
